Date,DailyPositive
2021-01-05,0.8267798265966545
2021-01-06,0.7962126912465519
2021-01-07,0.7686600291711593
2021-01-08,0.7205891303024775
2021-01-09,0.7334309543515636
2021-01-10,0.756553804894402
2021-01-11,0.7482378703893797
2021-01-12,0.7757181892031612
2021-01-13,0.8175303197353918
2021-01-14,0.8250969391964362
2021-01-15,0.8180743243243246
2021-01-16,0.8198784722222224
2021-01-17,0.807337823466856
2021-01-18,0.7948600695079572
2021-01-19,0.7914127951256666
2021-01-20,0.7563818514593974
2021-01-21,0.7721227877212281
2021-01-22,0.7696675614288666
2021-01-23,0.7728957120169404
2021-01-24,0.7961580680570802
2021-01-25,0.8098032447359338
2021-01-26,0.8319499578972694
2021-01-27,0.8569791136016304
2021-01-28,0.8442113442113445
2021-01-29,0.871361502347418
2021-01-30,0.8813698630136989
2021-01-31,0.8654349924169313
2021-02-01,0.8765274225632287
2021-02-02,0.8497686524002317
2021-02-03,0.8607519690890179
2021-02-04,0.8798895536125174
2021-02-05,0.8766933497536947
2021-02-06,0.8579421821572895
2021-02-07,0.8832244702883545
2021-02-08,0.89349975684876
2021-02-09,0.9635868640462824
2021-02-10,0.9753107734806632
2021-02-11,0.9909344490934451
2021-02-12,0.9968393327480247
2021-02-13,1.0496376811594206
2021-02-14,1.032828282828283
2021-02-15,1.007438316400581
2021-02-16,0.9434928483136151
2021-02-17,0.9231722428748453
2021-02-18,0.8735045742434907
2021-02-19,0.8095825259820328
2021-02-20,0.7511218501898517
2021-02-21,0.7273838630806846
2021-02-22,0.7071853052404105
2021-02-23,0.701665730862811
2021-02-24,0.6795781399808243
2021-02-25,0.6996978851963744
2021-02-26,0.7432550043516101
2021-02-27,0.7994025735294118
2021-02-28,0.8376950780312126
2021-03-01,0.8986503692386048
2021-03-02,0.9770605494798617
2021-03-03,1.06941309255079
2021-03-04,1.1206102475532527
2021-03-05,1.1750585480093676
2021-03-06,1.150043115837884
2021-03-07,1.150186299799369
2021-03-08,1.1660527061490504
2021-03-09,1.1012831012831008
2021-03-10,1.0585751978891815
2021-03-11,1.0020549704597996
2021-03-12,0.9613851519681114
2021-03-13,0.9627593101724566
2021-03-14,0.9641166209818086
2021-03-15,0.9387606318347504
2021-03-16,0.9657907783837377
2021-03-17,0.9561316051844463
2021-03-18,0.9887208408100482
2021-03-19,0.9826379891163509
2021-03-20,0.9667705088265832
2021-03-21,0.935383820108555
2021-03-22,0.8938648718612473
2021-03-23,0.8321355236139627
2021-03-24,0.8065693430656931
2021-03-25,0.7614726471350787
2021-03-26,0.7407700421940926
2021-03-27,0.7247583243823842
2021-03-28,0.7170489085382701
2021-03-29,0.6869388937156093
2021-03-30,0.7199259716224551
2021-03-31,0.7181641887524237
2021-04-01,0.7112700034048346
2021-04-02,0.7141331434674258
2021-04-03,0.7243423490181546
2021-04-04,0.7364161849710982
2021-04-05,0.7896290050590217
2021-04-06,0.7617823479005995
2021-04-07,0.7695769576957692
2021-04-08,0.7783628530397314
2021-04-09,0.7881355932203385
2021-04-10,0.7959079283887464
2021-04-11,0.7948717948717944
2021-04-12,0.8136679124399356
2021-04-13,0.8453318335208098
2021-04-14,0.8929824561403508
2021-04-15,0.959409594095941
2021-04-16,0.965211891208096
2021-04-17,0.9440874035989718
2021-04-18,0.9262672811059908
2021-04-19,0.8792650918635169
2021-04-20,0.8622754491017961
2021-04-21,0.8218729535036016
2021-04-22,0.7685897435897433
2021-04-23,0.7758846657929226
2021-04-24,0.7930565010211027
2021-04-25,0.8343994314143567
2021-04-26,0.8529850746268657
2021-04-27,0.8834876543209877
2021-04-28,0.9338645418326692
2021-04-29,1.0141784820683903
2021-04-30,1.0506756756756759
2021-05-01,1.1175965665236054
2021-05-02,1.1865417376490632
2021-05-03,1.3622047244094488
2021-05-04,1.4349344978165937
2021-05-05,1.465870307167235
2021-05-06,1.4901315789473677
2021-05-07,1.529742765273311
2021-05-08,1.4961597542242695
2021-05-09,1.4127781765972711
2021-05-10,1.2864482980089909
2021-05-11,1.2976262933657932
2021-05-12,1.3061699650756682
2021-05-13,1.2770419426048556
2021-05-14,1.252758801891749
2021-05-15,1.2577002053388084
2021-05-16,1.2926829268292674
2021-05-17,1.3354967548676975
2021-05-18,1.2950281425891175
2021-05-19,1.3275401069518706
2021-05-20,1.3612791702679332
2021-05-21,1.4001677852348984
2021-05-22,1.4204081632653052
2021-05-23,1.432783018867923
2021-05-24,1.409345794392522
2021-05-25,1.4708438971387168
2021-05-26,1.4766700234978172
2021-05-27,1.5222222222222215
2021-05-28,1.5188735769922106
2021-05-29,1.5060344827586198
2021-05-30,1.489711934156378
2021-05-31,1.5286472148541108
2021-06-01,1.4759911351883768
2021-06-02,1.3837235735394398
2021-06-03,1.2888425443169957
2021-06-04,1.227021696252464
2021-06-05,1.2060675443617617
2021-06-06,1.196685082872927
2021-06-07,1.1584244317195893
2021-06-08,1.1576576576576563
2021-06-09,1.1743058978150143
2021-06-10,1.1752427184466008
2021-06-11,1.226812409580452
2021-06-12,1.253440911248219
2021-06-13,1.3268698060941815
2021-06-14,1.5757938885560203
2021-06-15,1.7980977086035437
2021-06-16,1.9729994404029085
2021-06-17,2.1883519206939255
2021-06-18,2.265461215932912
2021-06-19,2.346459674365768
2021-06-20,2.2675713291579656
2021-06-21,1.9432509505703397
2021-06-22,1.6899094333573752
2021-06-23,1.567538821527332
2021-06-24,1.4214168868755481
2021-06-25,1.3329091960670882
2021-06-26,1.2507664999193133
2021-06-27,1.1840826556186363
2021-06-28,1.1059531379934429
2021-06-29,1.0345269148683873
2021-06-30,0.941059392952456
